coords,nb_x,nb_y,likelihood,nt_x,nt_y,likelihood,adam_x,adam_y,likelihood,nb_ad_x,nb_ad_y,nt_ad_x,nt_ad_y
188,156.2298279,211.6425934,1,157.7561493,249.6137848,1,199.9430542,348.3283691,1,43.71322632,136.6857758,42.18690491,98.71458435
189,157.355072,210.2722321,1,159.5664673,248.2249603,1,199.8600769,348.3310547,1,42.50500488,138.0588226,40.29360962,100.1060944
190,158.5395813,208.7708435,1,160.5672913,247.8562622,1,200.2085266,348.5091553,1,41.66894531,139.7383118,39.64123535,100.6528931
191,160.2669067,208.0806122,1,162.1017914,246.5823822,1,200.6634216,348.2559204,1,40.39651489,140.1753082,38.56163025,101.6735382
192,161.1693115,206.5022278,1,163.3366089,245.383255,1,200.5902252,348.2098999,1,39.4209137,141.7076721,37.25361633,102.8266449
193,162.0433807,206.1461334,1,163.9224091,244.4180145,1,200.8269501,348.2037964,1,38.78356934,142.057663,36.90454102,103.7857819
194,162.0504456,205.7926941,1,164.188858,243.0029602,1,201.1976929,348.3349609,1,39.14724731,142.5422668,37.00883484,105.3320007
195,162.0824738,205.8903198,1,164.0902863,243.5238037,1,201.116272,348.1981812,1,39.03379822,142.3078613,37.02598572,104.6743774
196,160.879837,207.2292938,1,163.098465,245.59375,1,201.7391663,348.0401611,1,40.85932922,140.8108673,38.64070129,102.4464111
197,158.7234497,209.4276123,1,159.5943451,247.5461731,1,201.3083954,347.789917,1,42.58494568,138.3623047,41.71405029,100.2437439
198,154.9916992,211.5948639,1,155.8316345,249.1249542,1,200.8225403,347.6142273,1,45.83084106,136.0193634,44.99090576,98.48927307
199,151.9675598,211.6611176,1,152.4837341,249.5627899,1,200.9631958,347.3601379,1,48.99563599,135.6990204,48.47946167,97.79734802
200,150.7131805,210.8523102,1,150.9236908,249.0402222,1,200.7200623,347.249115,1,50.00688171,136.3968048,49.79637146,98.20889282
201,150.974762,209.7523956,1,150.6512451,248.3780212,1,200.2574005,347.2643738,1,49.28263855,137.5119781,49.6061554,98.88635254
